Sigla;Código;Município;1991;2000;2010
BA;2909604;Crisópolis;37.68;38.01;30.66
BA;2909703;Cristópolis;46.79;36.8;29.69
BA;2909802;Cruz das Almas;30.8;14.02;9.29
BA;2909901;Curaçá;44.19;30.46;23.29
BA;2910008;Dário Meira;64.66;49.96;30
BA;2910057;Dias d'Ávila;21.59;15.38;9.31
BA;2910107;Dom Basílio;45.12;28.18;19.27
BA;2910206;Dom Macedo Costa;55.7;22.79;16.48
BA;2910305;Elísio Medrado;51.43;22.08;13.89
BA;2910404;Encruzilhada;47.15;26.17;22.89
BA;2910503;Entre Rios;43.95;29.19;19.98
BA;2910602;Esplanada;43.58;39.15;18.73
BA;2910701;Euclides da Cunha;54.24;38.63;23.84
BA;2910727;Eunápolis;38.29;15.32;5.21
BA;2910750;Fátima;63.84;36.59;23.88
BA;2910776;Feira da Mata;43.68;33.33;33.78
BA;2910800;Feira de Santana;21.51;14.74;5.38
BA;2910859;Filadélfia;57.98;50.41;28.62
BA;2910909;Firmino Alves;49.73;31.49;5.58
BA;2911006;Floresta Azul;48.48;27.9;19.11
BA;2911105;Formosa do Rio Preto;57.3;44.85;30.21
BA;2911204;Gandu;31.46;27.36;11.36
BA;2911253;Gavião;32.67;29.21;11.54
BA;2911303;Gentio do Ouro;48.77;36.92;31.33
BA;2911402;Glória;43.53;38.88;23.12
BA;2911501;Gongogi;66.21;44.17;19.09
BA;2911600;Governador Mangabeira;54;29.81;16.74
BA;2911659;Guajeru;61.96;35.16;23.67
BA;2911709;Guanambi;36.72;24.31;7.16
BA;2911808;Guaratinga;50.96;31.69;24.07
BA;2911857;Heliópolis;54.53;38.92;24.23
BA;2911907;Iaçu;49.48;35.36;23.53
BA;2912004;Ibiassucê;57.28;29.91;9.19
BA;2912103;Ibicaraí;52.12;32.05;13.41
BA;2912202;Ibicoara;53.64;15.68;11.12
BA;2912301;Ibicuí;52.74;22.63;11.33
BA;2912400;Ibipeba;51.62;34.91;20.16
BA;2912509;Ibipitanga;47.88;32.16;33.34
BA;2912608;Ibiquera;61.8;43.05;38.36
BA;2912707;Ibirapitanga;63.5;46.53;19.44
BA;2912806;Ibirapuã;33.95;18.43;9.06
BA;2912905;Ibirataia;54.13;35.28;15.5
BA;2913002;Ibitiara;61.22;30.24;30.38
BA;2913101;Ibititá;44.46;37.34;22.01
BA;2913200;Ibotirama;53.12;29.96;19.29
BA;2913309;Ichu;47.39;24.72;17.2
BA;2913408;Igaporã;59.42;39.26;11.27
