Sigla	Código	Município	1991	2000	2010
BA	2910008	Dário Meira	88.42	80.05	53.41
BA	2910057	Dias d'Ávila	44.84	36.41	20.72
BA	2910107	Dom Basílio	75.27	55.67	40.89
BA	2910206	Dom Macedo Costa	80.13	55.81	36.54
BA	2910305	Elísio Medrado	77.44	52.33	35.13
BA	2910404	Encruzilhada	77.56	58.94	45.03
BA	2910503	Entre Rios	76.59	60.2	39.75
BA	2910602	Esplanada	74.95	67.08	39.21
BA	2910701	Euclides da Cunha	83.33	63.41	43.14
BA	2910727	Eunápolis	62.78	36.71	17.93
BA	2910750	Fátima	86.03	61.33	46.32
BA	2910776	Feira da Mata	76.69	58.58	50.82
BA	2910800	Feira de Santana	46.97	35.88	15.8
BA	2910859	Filadélfia	85.7	75.67	45.48
BA	2910909	Firmino Alves	72.57	57.33	24.91
BA	2911006	Floresta Azul	77.37	61.62	38.11
BA	2911105	Formosa do Rio Preto	77.86	70.99	42.96
BA	2911204	Gandu	61.6	54.16	30.27
BA	2911253	Gavião	67.96	65.96	27.21
BA	2911303	Gentio do Ouro	77.15	54.74	49.39
BA	2911402	Glória	74.98	61.41	38.55
BA	2911501	Gongogi	87.49	74.44	40.1
BA	2911600	Governador Mangabeira	80.13	56.76	30.73
BA	2911659	Guajeru	83.35	56.5	36.12
BA	2911709	Guanambi	63.27	48.13	18.63
BA	2911808	Guaratinga	79.1	66.65	40.97
BA	2911857	Heliópolis	83.16	65.27	44.3
BA	2911907	Iaçu	74.78	63.65	43.94
BA	2912004	Ibiassucê	78.58	53.83	21.91
BA	2912103	Ibicaraí	77.24	61.06	32.19
BA	2912202	Ibicoara	83.87	51.31	31.21
BA	2912301	Ibicuí	84.85	61.7	34.67
BA	2912400	Ibipeba	78.72	59.25	43.23
BA	2912509	Ibipitanga	70.58	52.59	47.05
BA	2912608	Ibiquera	85.9	74.74	52.54
BA	2912707	Ibirapitanga	83.66	72.01	45.03
BA	2912806	Ibirapuã	67.22	48.38	20.97
BA	2912905	Ibirataia	80.55	69.04	36.2
BA	2913002	Ibitiara	83.62	59.38	46.3
BA	2913101	Ibititá	75.24	63.68	44.22
BA	2913200	Ibotirama	76.82	55.78	34.56
BA	2913309	Ichu	78.85	50.96	34.31
BA	2913408	Igaporã	86.77	64.87	31.73
BA	2913457	Igrapiúna	80.82	71.91	44.16
BA	2913507	Iguaí	79.77	63.13	43.17
BA	2913606	Ilhéus	66.56	46.36	19.66
BA	2913705	Inhambupe	80.27	66.74	44.31
BA	2913804	Ipecaetá	77.35	67.13	52.76
BA	2913903	Ipiaú	68.81	51.39	29.68
BA	2914000	Ipirá	75.61	61.53	38.41
BA	2914109	Ipupiara	75.71	63.08	40.28
BA	2914208	Irajuba	84.26	65.4	44.78
BA	2914307	Iramaia	86.82	67.4	44.26
BA	2914406	Iraquara	86.04	65.71	53.66
BA	2914505	Irará	77.73	65.43	33.95
BA	2914604	Irecê	57.73	41.89	25.5
BA	2914653	Itabela	79.06	59.16	31.39
BA	2914703	Itaberaba	72.78	53.19	29.19
BA	2914802	Itabuna	53.83	36.16	17.09
BA	2914901	Itacaré	77.33	69.24	36.47
BA	2915007	Itaeté	83.82	72.8	50.94
BA	2915106	Itagi	81.33	70.15	43.38
BA	2915205	Itagibá	84.45	70.12	35.8
BA	2915304	Itagimirim	73.59	44.29	30.72
BA	2915353	Itaguaçu da Bahia	93.57	71.22	44.7
BA	2915403	Itaju do Colônia	87.45	59.78	37.65
BA	2915502	Itajuípe	75.01	60.59	28.49
BA	2915601	Itamaraju	64.99	44.9	25.14
BA	2915700	Itamari	79.97	61.46	32.85
BA	2915809	Itambé	84.59	63.08	23.04
BA	2915908	Itanagra	82.25	67.66	48.74
BA	2916005	Itanhém	69.13	52.97	27.57
BA	2916104	Itaparica	69.44	49.41	28.32
BA	2916203	Itapé	90.35	63.75	34.17
BA	2916302	Itapebi	83.76	60.65	36.38
BA	2916401	Itapetinga	61.88	40.4	12.26
BA	2916500	Itapicuru	79.8	77.5	57.29
BA	2916609	Itapitanga	84.36	67.38	36.57
BA	2916708	Itaquara	83.52	64.72	51.57
BA	2916807	Itarantim	81.77	59.74	27.65
BA	2916856	Itatim	79.43	59.01	40.67
BA	2916906	Itiruçu	79.54	64.15	33.21
BA	2917003	Itiúba	78.87	71.32	54.5
BA	2917102	Itororó	73.69	57.26	22.06
BA	2917201	Ituaçu	75.86	58.19	42.66
BA	2917300	Ituberá	84.05	63.93	32.72
BA	2917334	Iuiú	79.2	67.43	39.17
BA	2917359	Jaborandi	82.94	75.27	48.92
BA	2917409	Jacaraci	76.06	57.25	35.25
BA	2917508	Jacobina	68.99	51.7	28.66
BA	2917607	Jaguaquara	72.61	59.42	32.3
BA	2917706	Jaguarari	75.43	52.82	36.44
BA	2917805	Jaguaripe	82.02	69.86	47.49
BA	2917904	Jandaíra	80.54	76.19	54.92
BA	2918001	Jequié	66.69	47.6	22.48
BA	2918100	Jeremoabo	71.01	65.87	43.67
BA	2918209	Jiquiriçá	80.77	58.11	42.59
BA	2918308	Jitaúna	84.15	78.64	42.15
BA	2918357	João Dourado	76.63	53.72	40.96
BA	2918407	Juazeiro	59.16	42.77	21.56
BA	2918456	Jucuruçu	87.57	65.35	53.18
BA	2918506	Jussara	84.35	65.97	45.97
BA	2918555	Jussari	81.18	61.17	37.14
BA	2918605	Jussiape	65.31	51.22	24.82
BA	2918704	Lafaiete Coutinho	87.78	68.02	38.48
BA	2918753	Lagoa Real	95.21	64.96	43.89
BA	2918803	Laje	75.32	58	43.59
BA	2918902	Lajedão	58.08	50.04	21.7
BA	2919009	Lajedinho	85.88	74.74	56.72
BA	2919058	Lajedo do Tabocal	86.4	64.41	45.4
BA	2919108	Lamarão	90.6	65.2	53.56
BA	2919157	Lapão	72.46	62.45	47.08
BA	2919207	Lauro de Freitas	43.52	28.76	11.45
BA	2919306	Lençóis	75.36	56.56	39.34
BA	2919405	Licínio de Almeida	79.01	58.84	29.59
BA	2919504	Livramento de Nossa Senhora	73.13	49.89	35.73
BA	2919553	Luís Eduardo Magalhães	40.52	17.28	10.52
BA	2919603	Macajuba	83.07	73.71	54.31
BA	2919702	Macarani	76.19	56.5	23.98
BA	2919801	Macaúbas	84.37	67.51	44.17
BA	2919900	Macururé	87.28	69.16	47.59
BA	2919926	Madre de Deus	45.04	32.72	22.34
BA	2919959	Maetinga	82.67	73.85	33.28
BA	2920007	Maiquinique	81.97	57.88	27.36
BA	2920106	Mairi	82.04	66.23	39.5
BA	2920205	Malhada	90.26	71.7	44.63
BA	2920304	Malhada de Pedras	75.68	68.53	39.63
BA	2920403	Manoel Vitorino	84.01	67.62	46.92
BA	2920452	Mansidão	91.91	78.81	55.1
BA	2920502	Maracás	76.55	65.07	39.19
BA	2920601	Maragogipe	78.83	56.92	42.63
BA	2920700	Maraú	82.32	74.25	44.19
BA	2920809	Marcionílio Souza	87.68	65.78	48.41
BA	2920908	Mascote	84.67	68.75	46.08
BA	2921005	Mata de São João	57.74	44.51	23.45
BA	2921054	Matina	89.5	79.23	39.62
BA	2921104	Medeiros Neto	60.8	47.05	27.86
BA	2921203	Miguel Calmon	79.93	64.44	43.1
BA	2921302	Milagres	73.21	54.71	33.35
BA	2921401	Mirangaba	85.22	70.16	50.34
BA	2921450	Mirante	79.45	73.72	49.79
BA	2921500	Monte Santo	86.39	76.5	55.01
BA	2921609	Morpará	81.47	64.83	50.91
BA	2921708	Morro do Chapéu	75.45	60.42	43.04
BA	2921807	Mortugaba	77.77	58.2	26.65
BA	2921906	Mucugê	83.04	60.21	35.14
